"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET community",2342,290,360,430,490,960,2200,4600,5200,7000
"GET game",2304,69,130,180,220,370,960,2900,4500,6800
"GET merch",2188,150,230,310,360,900,2300,4300,4700,6600
"GET news",2274,73,150,200,240,410,1000,2900,4600,6800
"GET nexus",2190,130,190,250,330,730,1700,3700,4400,6800
"GET support",2299,83,150,220,280,740,2200,4200,4600,6700
"GET universe",2336,190,260,330,390,810,2000,4200,4600,6900
"Total",15933,150,230,290,340,720,1800,4100,4600,7000
